
static timeTest optimisation level: 0
START: real: 0.0000440000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000630000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000650000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000670000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000680000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000700000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000730000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000740000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000760000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000770000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000780000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000800000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000810000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000830000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000840000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000860000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000870000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000890000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000900000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000940000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000960000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0000990000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001000000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001020000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001030000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001050000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001060000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001090000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001120000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001150000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001180000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001190000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001200000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001220000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0001230000, user: 0.0000000000, sys: 0.0000000000
